Timestamp,Value_NE5,Value_NE7
2015-01-05T07:15:00Z,35107.330,67946.188
2015-01-05T07:30:00Z,35353.524,68764.110
2015-01-05T07:45:00Z,35687.494,69676.125
2015-01-05T08:00:00Z,35847.343,70361.008
2015-01-05T08:15:00Z,35449.173,71129.043
2015-01-05T08:30:00Z,35329.034,71747.705
2015-01-05T08:45:00Z,35395.096,72529.900
2015-01-05T09:00:00Z,35526.424,73019.171
2015-01-05T09:15:00Z,35474.773,73744.850
2015-01-05T09:30:00Z,35635.021,74084.326
2015-01-05T09:45:00Z,35582.207,74381.557
2015-01-05T10:00:00Z,35684.833,74493.337
2015-01-05T10:15:00Z,35776.164,74639.462
2015-01-05T10:30:00Z,35800.459,74745.323
2015-01-05T10:45:00Z,35629.254,75497.638
2015-01-05T11:00:00Z,35599.322,75859.408
2015-01-05T11:15:00Z,35309.563,75334.270
2015-01-05T11:30:00Z,35108.537,73876.784
2015-01-05T11:45:00Z,35074.304,72901.865
2015-01-05T12:00:00Z,35103.994,72564.288
2015-01-05T12:15:00Z,34652.190,72620.481
2015-01-05T12:30:00Z,34648.401,72463.226
2015-01-05T12:45:00Z,34848.419,71962.456
2015-01-05T13:00:00Z,35002.287,71307.925
2015-01-05T13:15:00Z,34879.399,70663.152
2015-01-05T13:30:00Z,35165.416,69930.492
2015-01-05T13:45:00Z,34890.765,69429.651
2015-01-05T14:00:00Z,34813.111,69043.134
2015-01-05T14:15:00Z,34660.722,68776.436
2015-01-05T14:30:00Z,34637.684,68667.163
2015-01-05T14:45:00Z,34688.557,68730.614
2015-01-05T15:00:00Z,34821.135,68819.131
2015-01-05T15:15:00Z,34813.486,69467.741
2015-01-05T15:30:00Z,34743.979,70093.473
2015-01-05T15:45:00Z,34254.619,70972.022
2015-01-05T16:00:00Z,34231.749,72286.853
2015-01-05T16:15:00Z,33729.002,74464.061
2015-01-05T16:30:00Z,33443.162,75451.515
2015-01-05T16:45:00Z,32962.577,76412.683
2015-01-05T17:00:00Z,32969.228,77224.472
2015-01-05T17:15:00Z,32331.440,77287.837
2015-01-05T17:30:00Z,31929.794,77734.476
2015-01-05T17:45:00Z,31254.105,77297.768
2015-01-05T18:00:00Z,31096.570,76648.790
2015-01-05T18:15:00Z,30287.570,75540.271
2015-01-05T18:30:00Z,29994.571,74365.126
2015-01-05T18:45:00Z,29644.260,73293.097
2015-01-05T19:00:00Z,29252.079,72147.762
2015-01-05T19:15:00Z,28139.607,70342.315
2015-01-05T19:30:00Z,27617.402,68358.704
2015-01-05T19:45:00Z,26777.046,66591.073
2015-01-05T20:00:00Z,26357.231,64965.580
2015-01-05T20:15:00Z,25756.715,63447.936
2015-01-05T20:30:00Z,25647.470,61712.384
2015-01-05T20:45:00Z,25207.899,59775.175
2015-01-05T21:00:00Z,24958.561,58170.246
2015-01-05T21:15:00Z,24857.561,61782.706
2015-01-05T21:30:00Z,24786.483,59838.748
2015-01-05T21:45:00Z,24465.000,57625.414
2015-01-05T22:00:00Z,24397.168,55161.160
2015-01-05T22:15:00Z,23913.894,52371.870
2015-01-05T22:30:00Z,23769.650,50074.261
2015-01-05T22:45:00Z,23719.522,47896.577
2015-01-05T23:00:00Z,23568.788,46270.233
2015-01-05T23:15:00Z,22725.422,44445.230
2015-01-05T23:30:00Z,22675.120,42837.967
2015-01-05T23:45:00Z,22306.540,41560.509
2015-01-06T00:00:00Z,21687.017,40552.300
2015-01-06T00:15:00Z,21046.369,39505.438
2015-01-06T00:30:00Z,20840.938,38769.948
2015-01-06T00:45:00Z,20696.318,38271.923
2015-01-06T01:00:00Z,20372.579,38086.524
2015-01-06T01:15:00Z,20340.474,40736.412
2015-01-06T01:30:00Z,20434.684,40411.736
2015-01-06T01:45:00Z,20400.377,39922.221
2015-01-06T02:00:00Z,20344.635,39428.690
2015-01-06T02:15:00Z,20387.273,38826.611
2015-01-06T02:30:00Z,20290.761,38311.964
2015-01-06T02:45:00Z,20366.882,37759.649
2015-01-06T03:00:00Z,20488.515,37550.476
2015-01-06T03:15:00Z,20662.701,37536.020
2015-01-06T03:30:00Z,20827.795,37532.437
2015-01-06T03:45:00Z,21261.947,37835.686
2015-01-06T04:00:00Z,21406.756,38105.178
2015-01-06T04:15:00Z,22643.672,39038.064
2015-01-06T04:30:00Z,23757.352,39631.121
2015-01-06T04:45:00Z,24467.884,41017.237
2015-01-06T05:00:00Z,25871.962,42808.791
2015-01-06T05:15:00Z,27637.225,45757.403
2015-01-06T05:30:00Z,28746.087,48330.958
2015-01-06T05:45:00Z,30150.379,51648.159
2015-01-06T06:00:00Z,30904.235,54639.751
